Title,URL
Physiological roles of catalases Cat1 and Cat2 in Myxococcus xanthus,https://link.springer.com/article/10.1007/s12275-022-2277-7
Screening of commonly prescribed drugs for effects on the CAT1-mediated transport of l-arginine and arginine derivatives,https://link.springer.com/article/10.1007/s00726-022-03156-2
Overexpression of bovine leukemia virus receptor SLC7A1/CAT1 enhances cellular susceptibility to BLV infection on luminescence syncytium induction assay (LuSIA),https://link.springer.com/article/10.1186/s12985-020-01324-y
Erratum to: Physiological roles of catalases Cat1 and Cat2 in Myxococcus xanthus,https://link.springer.com/article/10.1007/s12275-023-00025-9
Homogeneous and Heterogeneous α-Diimine Ni(II) Catalysts with Asymmetric Fluorine-Containing Diphenylmethyl Substituents for the Polymerization of Ethylene,https://link.springer.com/article/10.1007/s10562-023-04444-6
Investigating novel antifungal strategies through molecular docking & dynamics simulations of oxidative stress response in Candida albicans,https://link.springer.com/article/10.1007/s13721-024-00464-3
"The catE gene of Bacillus licheniformis M2-7 is essential for growth in benzopyrene, and its expression is regulated by the Csr system",https://link.springer.com/article/10.1007/s11274-023-03630-3
Structure–Performance Relationship(SPR) of Ziegler Natta catalysts(TiCl4/MgCl2-based) in ethylene/1-butene and ethylene/1-hexene copolymerization,https://link.springer.com/article/10.1007/s10965-022-03173-5
Regulation Transcriptional of Antibiotic Resistance Genes (ARGs) in Bacteria Isolated from WWTP,https://link.springer.com/article/10.1007/s00284-023-03449-z
Induction of disease symptoms of a non-cognate helper begomovirus by CLCuMB βC1 through the salicylic acid-dependent pathway,https://link.springer.com/article/10.1007/s13562-022-00814-0
Exogenous Epigallocatechin-3-Gallate Alleviates Pesticide Phytotoxicity and Reduces Pesticide Residues by Stimulating Antioxidant Defense and Detoxification Pathways in Melon,https://link.springer.com/article/10.1007/s00344-023-11092-y
Comparison of clinical characteristics between chronic bronchitis and non-chronic bronchitis in patients with chronic obstructive pulmonary disease,https://link.springer.com/article/10.1186/s12890-022-01854-x
"Ferrichrome, a fungal-type siderophore, confers high ammonium tolerance to fission yeast",https://link.springer.com/article/10.1038/s41598-022-22108-0
General control nonderepressible 1 interacts with cationic amino acid transporter 1 and affects Aedes aegypti fecundity,https://link.springer.com/article/10.1186/s13071-022-05461-x
Sequencing and gene expression analysis of catalase genes in Antarctic fungal strain Penicillium griseofulvum P29,https://link.springer.com/article/10.1007/s00300-021-03001-4
"Iron Oxide Nanoparticle-Induced Changes in the Growth, Oxidative Responses, and Antioxidant Capacity of Physalis alkekengi Seedlings",https://link.springer.com/article/10.1134/S1021443722602944
"Hydroxychloroquine an Antimalarial Drug, Exhibits Potent Antifungal Efficacy Against Candida albicans Through Multitargeting",https://link.springer.com/article/10.1007/s12275-024-00111-6
"Effects of the kinetic pattern of dietary glucose release on nitrogen utilization, the portal amino acid profile, and nutrient transporter expression in intestinal enterocytes in piglets",https://link.springer.com/article/10.1186/s40104-024-01000-z
Bacillus Consortia Modulate Transcriptional and Metabolic Machinery of Arabidopsis Plants for Salt Tolerance,https://link.springer.com/article/10.1007/s00284-023-03187-2
"Dietary lysine level affects digestive enzyme, amino acid transport and hepatic intermediary metabolism in turbot (Scophthalmus maximus)",https://link.springer.com/article/10.1007/s10695-022-01098-w
Semi-implicit-Type Order-Adaptive CAT2 Schemes for Systems of Balance Laws with Relaxed Source Term,https://link.springer.com/article/10.1007/s42967-024-00414-w
Physiological roles of catalases Cat1 and Cat2 in Myxococcus xanthus,https://link.springer.com/article/10.1007/s12275-022-2277-7
Homogeneous and Heterogeneous α-Diimine Ni(II) Catalysts with Asymmetric Fluorine-Containing Diphenylmethyl Substituents for the Polymerization of Ethylene,https://link.springer.com/article/10.1007/s10562-023-04444-6
Erratum to: Physiological roles of catalases Cat1 and Cat2 in Myxococcus xanthus,https://link.springer.com/article/10.1007/s12275-023-00025-9
Spatially patterned hydrogen peroxide orchestrates stomatal development in Arabidopsis,https://link.springer.com/article/10.1038/s41467-022-32770-7
Structure–Performance Relationship(SPR) of Ziegler Natta catalysts(TiCl4/MgCl2-based) in ethylene/1-butene and ethylene/1-hexene copolymerization,https://link.springer.com/article/10.1007/s10965-022-03173-5
Exogenous serotonin improves drought and salt tolerance in tomato seedlings,https://link.springer.com/article/10.1007/s10725-023-01016-x
Differential expression of genes potentially related to the callogenesis and in situ hybridization of SERK gene in macaw palm (Acrocomia aculeata Jacq.) Lodd. ex Mart.,https://link.springer.com/article/10.1007/s00709-023-01881-3
Biochemical probing of phloem sap defensive traits in Brassica juncea–B. fruticulosa introgression lines following Lipaphis erysimi infestation,https://link.springer.com/article/10.1007/s12298-023-01341-5
Hydrogen sulfide attenuates intracellular oxidative stress via repressing glycolate oxidase activities in Arabidopsis thaliana,https://link.springer.com/article/10.1186/s12870-022-03490-3
Using the Superfolder GFP (sfGFP) System to Study Plant Peroxisomal Protein Import,https://link.springer.comhttps://link.springer.com/chapter/10.1007/978-1-0716-3048-8_31
Early Leishmania infectivity depends on miR-372/373/520d family-mediated reprogramming of polyamines metabolism in THP-1-derived macrophages,https://link.springer.com/article/10.1038/s41598-024-51511-y
Comparison of clinical characteristics between chronic bronchitis and non-chronic bronchitis in patients with chronic obstructive pulmonary disease,https://link.springer.com/article/10.1186/s12890-022-01854-x
Identification of Germplasm and Sugar Transporter Gene ZmSWEET1b Associated with Salt Tolerance in Maize,https://link.springer.com/article/10.1007/s00344-023-11033-9
"Amino acid profiles, amino acid sensors and transporters expression and intestinal microbiota are differentially altered in goats infected with Haemonchus contortus",https://link.springer.com/article/10.1007/s00726-023-03235-y
A natriuretic peptide from Arabidopsis thaliana (AtPNP-A) can modulate catalase 2 activity,https://link.springer.com/article/10.1038/s41598-020-76676-0
"Heat, drought, and combined stress effect on transgenic potato plants overexpressing the StERF94 transcription factor",https://link.springer.com/article/10.1007/s10265-023-01454-8
Development of semi-synthetic catalyst based on clay and their use in catalytic cracking of petroleum residue,https://link.springer.com/article/10.1007/s13203-021-00268-w
Molecular characterization of carbapenem resistant E. coli of fish origin reveals the dissemination of NDM-5 in freshwater aquaculture environment by the high risk clone ST167 and ST361,https://link.springer.com/article/10.1007/s11356-023-25639-9
Access block and overcrowding at the emergency department at Tupua Tamasese Meaole Hospital in Samoa,https://link.springer.com/article/10.1186/s12245-023-00512-1
Extracellular arginine is required but the arginine transporter CAT3 (Slc7a3) is dispensable for mouse normal and malignant hematopoiesis,https://link.springer.com/article/10.1038/s41598-022-24554-2
Role of Silicon in Mediating Salt Stress Responses in Arabidopsis Methylation Mutants,https://link.springer.com/article/10.1007/s42729-024-01848-0
The Effect of Post-activation Performance Enhancement of Coincidence Anticipation Timing in Basketball Players,https://link.springer.com/article/10.1007/s41465-023-00277-8
Bradyrhizobium japonicum IRAT FA3 promotes salt tolerance through jasmonic acid priming in Arabidopsis thaliana,https://link.springer.com/article/10.1186/s12870-022-03977-z
Access block and overcrowding at the emergency department at Tupua Tamasese Meaole Hospital in Samoa,https://link.springer.com/article/10.1186/s12245-023-00512-1
"Impact of Static Magnetic Field on the Callogenesis, Phytochemical Production and Antioxidant enzymes in Anthemis gilanica",https://link.springer.com/article/10.1134/S1021443722040124
Adaptive Quantization for Predicting Transform-Based Point Cloud Compression,https://link.springer.comhttps://link.springer.com/chapter/10.1007/978-3-030-87355-4_62
Validation of the psychosocial consequences of screening in lung cancer questionnaire in the international lung screen trial Australian cohort,https://link.springer.com/article/10.1186/s12955-023-02225-8
Survival of Plants During Short-Term BOA-OH Exposure: ROS Related Gene Expression and Detoxification Reactions Are Accompanied With Fast Membrane Lipid Repair in Root Tips,https://link.springer.com/article/10.1007/s10886-021-01337-z
Occupational influences on Spondylolysis and Spondylolisthesis in a cohort of 18-year-old male military conscripts,https://link.springer.com/article/10.1186/s12891-020-03747-8
Specialist Palliative Care and Health Care Costs at the End of Life,https://link.springer.com/article/10.1007/s41669-023-00446-7
One-Step Synthesis of Liquid Hydrocarbons from CO2 Using Hybrid Intergrowth Structure Zeolites,https://link.springer.com/article/10.1134/S0965544123080091
Hypotensive effects of exercise training: are postmenopausal women with hypertension non-responders or responders?,https://link.springer.com/article/10.1038/s41440-024-01721-8
Exogenous dehydrin NnRab18 improves the Arabidopsis cryopreservation by affecting ROS metabolism and protecting antioxidase activities,https://link.springer.com/article/10.1007/s11627-022-10254-z
Institutional drivers of research productivity: a canonical multivariate analysis of Romanian public universities,https://link.springer.com/article/10.1007/s11192-023-04655-z
The structure–function correlation of Cicer arietinum catalase 4 (Ca catalase 4): the key scavenger enzyme during chickpea–Fusarium interplay,https://link.springer.com/article/10.1007/s43538-023-00189-3
A comprehensive suite of earthquake catalogues for the 2016-2017 Central Italy seismic sequence,https://link.springer.com/article/10.1038/s41597-022-01827-z
Two-tiered aerobic exercise program in hypertension,https://link.springer.com/article/10.1038/s41440-024-01774-9
Involvement of abscisic acid on antioxidant enzymes activity and gene expression in Lavandula angustifolia cv. Munstead under drought stress,https://link.springer.com/article/10.1007/s11738-024-03666-4
Regional climate simulation of tropical cyclone at gray-zone resolution over western North Pacific: with/without cumulus parameterization,https://link.springer.com/article/10.1007/s00382-023-06740-8
Performance Analysis of LBT Cat4 Based 5G IoT Enabled New Radio in Unlicensed Spectrum,https://link.springer.comhttps://link.springer.com/chapter/10.1007/978-981-99-1203-2_9
Occupational influences on Spondylolysis and Spondylolisthesis in a cohort of 18-year-old male military conscripts,https://link.springer.com/article/10.1186/s12891-020-03747-8
Validation of the psychosocial consequences of screening in lung cancer questionnaire in the international lung screen trial Australian cohort,https://link.springer.com/article/10.1186/s12955-023-02225-8
